Wavelength[nm],Intensity[normalized],Phase[rad]
823.75,0.18037743,-0.68496412
824.18,0.16330650,-0.68743522
824.62,0.14768790,-0.68855245
825.05,0.13116002,-0.68831819
825.49,0.11334540,-0.68771138
825.92,0.09644561,-0.68575784
826.36,0.08240258,-0.68343648
826.79,0.07167647,-0.68074967
827.23,0.06414401,-0.67769976
827.66,0.05972317,-0.67575395
828.09,0.05804221,-0.67686770
828.53,0.05819926,-0.67811366
828.96,0.05965585,-0.67949417
829.40,0.06239186,-0.68052326
829.83,0.06577314,-0.68169155
830.27,0.06897605,-0.68300134
830.70,0.07202665,-0.68396668
831.14,0.07509293,-0.68507813
831.57,0.07820619,-0.68633800
832.01,0.08180339,-0.68726031
832.44,0.08645704,-0.68833562
832.88,0.09208020,-0.68907794
833.31,0.09760213,-0.69046610
833.74,0.10207206,-0.69152581
834.18,0.10542674,-0.69518904
834.61,0.10788602,-0.69999319
835.05,0.10956837,-0.70447569
835.48,0.11038622,-0.70863877
835.92,0.11030459,-0.71248470
836.35,0.10975202,-0.71601570
836.78,0.10935299,-0.71874573
837.22,0.10911495,-0.72116530
837.65,0.10784915,-0.72278837
838.09,0.10428198,-0.72312886
838.52,0.09864133,-0.72267727
838.95,0.09220854,-0.72094753
839.39,0.08600788,-0.71843012
839.82,0.08012209,-0.71463897
840.26,0.07395685,-0.70908798
840.69,0.06737145,-0.69347857
841.12,0.06099455,-0.67660198
841.56,0.05551724,-0.65821625
841.99,0.05116009,-0.63856769
842.43,0.04786430,-0.61814675
842.86,0.04575718,-0.59695560
843.29,0.04486510,-0.57499640
843.73,0.04481070,-0.55251544
844.16,0.04532396,-0.52951486
844.59,0.04672535,-0.50624096
845.03,0.04939858,-0.48269587
845.46,0.05306766,-0.45937000
845.89,0.05711715,-0.43602136
846.33,0.06100055,-0.41289619
846.76,0.06446604,-0.39024076
847.19,0.06770318,-0.37098687
847.63,0.07073761,-0.35220695
848.06,0.07308652,-0.33414724
848.49,0.07448701,-0.31656570
848.93,0.07546210,-0.30019684
849.36,0.07654280,-0.28431033
849.79,0.07798322,-0.26939655
850.23,0.08060365,-0.25545756
850.66,0.08508504,-0.24249545
851.09,0.09123624,-0.23075644
851.53,0.09844088,-0.21999843
851.96,0.10544327,-0.21046764
852.39,0.11134507,-0.20241027
852.82,0.11656219,-0.19558422
853.26,0.12126680,-0.18999154
853.69,0.12533153,-0.19271436
854.12,0.12953519,-0.19789533
854.56,0.13445775,-0.20455993
854.99,0.13967795,-0.21197777
855.42,0.14459082,-0.22063915
855.85,0.14868071,-0.23005781
856.29,0.15172996,-0.23999162
856.72,0.15441408,-0.25044259
857.15,0.15766851,-0.26141274
857.59,0.16164179,-0.27241578
858.02,0.16597725,-0.28394198
858.45,0.17038292,-0.29501679
858.88,0.17475518,-0.30613046
859.32,0.17926934,-0.31679670
859.75,0.18372908,-0.32701750
860.18,0.18715957,-0.33459754
860.61,0.18953355,-0.33782984
861.04,0.19183847,-0.34037845
861.48,0.19400652,-0.34224534
861.91,0.19576693,-0.34318832
862.34,0.19795166,-0.34394177
862.77,0.20097838,-0.34353108
863.21,0.20400587,-0.34269061
863.64,0.20641764,-0.34093402
864.07,0.20833237,-0.33875152
864.50,0.20948137,-0.33565676
864.93,0.20943369,-0.33213995
865.37,0.20907119,-0.32771474
865.80,0.20980162,-0.32262717
866.23,0.21123397,-0.31687916
866.66,0.21214841,-0.31071677
867.09,0.21249916,-0.30243291
867.53,0.21258417,-0.29300604
867.96,0.21210666,-0.28292634
868.39,0.21081177,-0.27219571
868.82,0.20909591,-0.26106016
869.25,0.20795408,-0.24952160
869.68,0.20805625,-0.23733774
870.12,0.20841857,-0.22499876
870.55,0.20781834,-0.21201823
870.98,0.20698420,-0.19913046
871.41,0.20719458,-0.18584901
871.84,0.20834514,-0.17241989
872.27,0.20918891,-0.15860081
872.70,0.20865246,-0.14488190
873.14,0.20693270,-0.13102088
873.57,0.20532442,-0.11726371
874.00,0.20503510,-0.10410052
874.43,0.20600495,-0.09128901
874.86,0.20732532,-0.07858685
875.29,0.20845359,-0.06599589
875.72,0.20896733,-0.05351793
876.16,0.20837868,-0.04115480
876.59,0.20710279,-0.02890831
877.02,0.20613482,-0.01702441
877.45,0.20580339,-0.00526077
877.88,0.20565308,0.00638082
878.31,0.20503551,0.01789856
878.74,0.20400011,0.02904651
879.17,0.20334724,0.03982287
879.60,0.20332765,0.05047002
880.03,0.20307104,0.06074202
880.46,0.20190782,0.07063710
880.90,0.20053100,0.07990934
881.33,0.20012574,0.08782455
881.76,0.20072410,0.09560167
882.19,0.20142510,0.10299479
882.62,0.20217835,0.11000216
883.05,0.20333842,0.11662202
883.48,0.20430861,0.12309676
883.91,0.20492257,0.12918049
884.34,0.20576668,0.13487148
884.77,0.20624790,0.14041212
885.20,0.20572857,0.14580067
885.63,0.20535276,0.15054713
886.06,0.20600768,0.15538219
886.49,0.20695712,0.16005998
886.92,0.20770807,0.16433464
887.35,0.20850090,0.16844860
887.78,0.20875147,0.17215600
888.21,0.20796787,0.17569928
888.64,0.20699015,0.17907672
889.07,0.20636494,0.18204249
889.50,0.20566220,0.18508318
889.93,0.20459590,0.18770879
890.36,0.20379090,0.19040593
890.79,0.20410991,0.19292877
891.22,0.20526767,0.19551976
891.65,0.20600963,0.19793309
892.08,0.20600065,0.20016707
892.51,0.20628462,0.20222004
892.94,0.20734777,0.20433447
893.37,0.20835746,0.20650869
893.80,0.20813441,0.20849691
894.23,0.20655562,0.21054159
894.66,0.20482131,0.21264109
895.09,0.20384126,0.21479377
895.52,0.20353796,0.21626554
895.95,0.20361307,0.21754304
896.38,0.20386158,0.21911292
896.81,0.20349204,0.22072941
897.24,0.20162318,0.22239086
897.67,0.19845428,0.22433979
898.10,0.19462781,0.22657457
898.53,0.19057338,0.22884943
898.96,0.18642783,0.23140691
899.39,0.18223202,0.23448953
899.82,0.17864315,0.23760738
900.25,0.17640683,0.24100301
900.68,0.17536024,0.24516309
901.11,0.17479003,0.24935359
901.53,0.17377975,0.25406120
901.96,0.17134945,0.25952847
902.39,0.16737218,0.26526551
902.82,0.16296790,0.27395630
903.25,0.15955013,0.28364612
903.68,0.15758046,0.29384510
904.11,0.15597049,0.30455167
904.54,0.15314539,0.31576426
904.97,0.14922415,0.32723715
905.40,0.14572787,0.33896877
905.83,0.14353386,0.35120171
906.25,0.14245217,0.36344611
906.68,0.14144822,0.37618871
907.11,0.13957967,0.38918380
907.54,0.13727817,0.40218569
907.97,0.13553410,0.41568112
908.40,0.13434361,0.42893612
908.83,0.13272998,0.44243743
909.25,0.13018206,0.45618351
909.68,0.12749329,0.46992869
910.11,0.12548338,0.48342729
910.54,0.12405098,0.49643365
910.97,0.12319152,0.50967865
911.40,0.12320858,0.52291665
911.83,0.12362555,0.53590197
912.25,0.12314149,0.54887725
912.68,0.12107446,0.56159682
913.11,0.11826627,0.57430333
913.54,0.11590294,0.58675112
913.97,0.11422992,0.59918284
914.40,0.11282571,0.61110870
914.82,0.11141339,0.62301548
915.25,0.11036772,0.63441342
915.68,0.11030780,0.64554515
916.11,0.11097146,0.65665335
916.54,0.11134074,0.66700409
916.96,0.11099793,0.67732832
917.39,0.11023766,0.68713628
917.82,0.10903344,0.69544994
918.25,0.10701700,0.70275610
918.68,0.10446562,0.70978571
919.10,0.10238063,0.71629318
919.53,0.10130873,0.72252117
919.96,0.10083890,0.72822410
920.39,0.10042804,0.73340049
920.81,0.09997474,0.73853718
921.24,0.09939926,0.74290031
921.67,0.09840116,0.74722083
922.10,0.09690575,0.75100903
922.52,0.09531204,0.75450761
922.95,0.09423574,0.75771513
923.38,0.09384429,0.76063014
923.81,0.09344995,0.76300709
924.23,0.09241238,0.76508868
924.66,0.09100371,0.76687349
925.09,0.08964317,0.76836008
925.52,0.08826698,0.76905877
925.94,0.08681736,0.76945640
926.37,0.08539218,0.76955158
926.80,0.08390122,0.76934289
927.23,0.08212976,0.76882891
927.65,0.08027692,0.76825239
928.08,0.07885739,0.76736777
928.51,0.07780285,0.76617367
928.93,0.07652731,0.76466868
929.36,0.07484316,0.76309555
929.79,0.07283734,0.76145288
930.21,0.07050877,0.75949516
930.64,0.06827651,0.75770927
931.07,0.06656561,0.75536141
931.50,0.06497270,0.75318262
931.92,0.06310774,0.75092739
932.35,0.06145170,0.74859434
932.78,0.06041939,0.74618210
933.20,0.05962548,0.74368929
933.63,0.05890528,0.74062628
934.06,0.05847550,0.73772413
934.48,0.05789908,0.73498146
934.91,0.05644617,0.73215279
935.34,0.05428959,0.72923676
935.76,0.05256745,0.72647615
936.19,0.05200333,0.72386963
936.62,0.05216310,0.72141584
937.04,0.05235865,0.71911344
937.47,0.05221438,0.71696108
937.89,0.05155134,0.71520158
938.32,0.05061079,0.71334532
938.75,0.04984502,0.71187923
939.17,0.04928401,0.71055786
939.60,0.04860630,0.70962402
940.03,0.04771172,0.70907638
940.45,0.04683834,0.70866948
940.88,0.04614732,0.70889028
941.30,0.04573767,0.70949332
941.73,0.04557452,0.71169800
942.16,0.04518184,0.71452644
942.58,0.04435941,0.71748905
943.01,0.04357311,0.72082867
943.43,0.04316210,0.72454399
943.86,0.04291354,0.72863371
944.29,0.04252782,0.73334068
944.71,0.04198650,0.73817532
945.14,0.04133793,0.74362461
945.56,0.04064192,0.74919899
945.99,0.03989094,0.75538545
946.41,0.03894122,0.76169443
946.84,0.03795057,0.76861292
947.26,0.03732976,0.77589551
947.69,0.03702644,0.78354091
948.12,0.03651692,0.79130371
948.54,0.03556016,0.79967092
948.97,0.03453045,0.80839714
949.39,0.03395194,0.81772523
949.82,0.03380725,0.82863049
950.24,0.03350302,0.84013511
950.67,0.03282176,0.85174953
951.09,0.03233424,0.86371664
951.52,0.03228604,0.87603520
951.94,0.03225090,0.88845980
952.37,0.03200376,0.90098920
952.79,0.03157383,0.91386630
953.22,0.03099092,0.92708984
953.64,0.03033509,0.93992617
954.07,0.02968693,0.95335061
954.49,0.02923468,0.96638535
954.92,0.02918645,0.97976160
955.34,0.02942737,0.99298983
955.77,0.02952252,1.00631295
956.19,0.02917259,1.01972975
956.62,0.02844879,1.03275071
957.04,0.02752239,1.04586289
957.47,0.02666032,1.05882094
957.89,0.02612046,1.07089121
958.32,0.02574087,1.08280492
958.74,0.02513083,1.09431670
959.17,0.02418931,1.10566950
959.59,0.02316821,1.11686210
960.02,0.02243498,1.12789330
960.44,0.02215932,1.13851775
960.87,0.02189797,1.14897841
961.29,0.02119461,1.15927406
961.71,0.02037362,1.16891523
962.14,0.01975765,1.17863316
962.56,0.01927832,1.18793836
962.99,0.01899818,1.19682965
963.41,0.01892171,1.20555000
963.84,0.01878340,1.21385406
964.26,0.01840750,1.22149652
964.68,0.01798816,1.22920863
965.11,0.01781255,1.23625679
965.53,0.01780794,1.24288395
965.96,0.01765182,1.24908895
966.38,0.01714165,1.25242922
966.80,0.01629542,1.25461257
967.23,0.01526955,1.25637026
967.65,0.01429975,1.25794526
968.08,0.01358150,1.25909228
968.50,0.01309348,1.25981016
968.92,0.01277437,1.26058601
969.35,0.01268679,1.26093042
969.77,0.01272659,1.26108636
970.20,0.01255914,1.26129684
970.62,0.01215121,1.26107241
971.04,0.01185675,1.26114436
971.47,0.01184862,1.26102327
971.89,0.01200352,1.26070799
972.31,0.01215830,1.26068567
972.74,0.01217759,1.26071103
973.16,0.01189897,1.26053880
973.58,0.01135370,1.26090027
974.01,0.01089258,1.26130603
974.43,0.01069118,1.26175496
974.85,0.01059117,1.26761701
975.28,0.01051538,1.27791451
975.70,0.01050230,1.28825181
976.12,0.01044766,1.29838364
976.55,0.01015017,1.30855304
976.97,0.00956468,1.31875888
977.39,0.00893414,1.32851178
977.82,0.00873597,1.33805477
978.24,0.00922655,1.34689845
978.66,0.00990181,1.35528588
979.09,0.01008520,1.36297179
979.51,0.00976920,1.36971095
979.93,0.00923556,1.37574641
980.36,0.00866670,1.38083292
980.78,0.00822897,1.38472525
981.20,0.00795009,1.38766645
981.62,0.00772484,1.38916715
982.05,0.00748918,1.38947040
982.47,0.00726840,1.38808683
982.89,0.00707987,1.38525950
983.31,0.00683872,1.38074320
983.74,0.00650644,1.35378487
984.16,0.00623926,1.32293815
984.58,0.00616376,1.29064335
985.00,0.00618972,1.25714354
985.43,0.00621613,1.22268180
985.85,0.00616977,1.18774534
986.27,0.00594752,1.15208894
986.69,0.00567972,1.11619983
987.12,0.00555437,1.08032108
987.54,0.00549208,1.04469577
987.96,0.00541538,1.00932284
988.38,0.00540939,0.97468953
988.81,0.00558054,0.94079476
989.23,0.00584451,0.90788164
989.65,0.00594564,0.87643739
990.07,0.00591793,0.84646096
990.49,0.00597277,0.81819544
990.92,0.00587503,0.79163980
991.34,0.00547988,0.76752541
991.76,0.00525952,0.74560709
992.18,0.00532720,0.72637208
992.60,0.00529106,0.74424318
993.03,0.00518758,0.77065489
993.45,0.00528714,0.79999094
993.87,0.00553418,0.83078548
994.29,0.00568715,0.86376988
994.71,0.00552266,0.89772241
995.13,0.00511394,0.93288620
995.56,0.00483984,0.96877194
995.98,0.00479091,1.00513447
996.40,0.00472499,1.04148448
996.82,0.00446979,1.07782096
997.24,0.00402741,1.11341047
997.66,0.00357375,1.14825201
998.09,0.00334212,1.18185627
998.51,0.00346906,1.21422225
998.93,0.00383770,1.24461651
999.35,0.00411141,1.27279392
999.77,0.00410363,1.29875346
1000.19,0.00392505,1.32200586
1000.61,0.00369427,1.34206184
1001.04,0.00342861,1.35867625
1001.46,0.00322405,1.36647700
1001.88,0.00314959,1.36058029
1002.30,0.00310675,1.35075076
1002.72,0.00296927,1.33674326
1003.14,0.00269057,1.31855682
1003.56,0.00239927,1.29570216
1003.98,0.00234966,1.26842244
1004.40,0.00256677,1.23622840
1004.82,0.00280310,1.19911905
1005.25,0.00297129,1.15733756
1005.67,0.00313838,1.11039466
1006.09,0.00318201,1.05804524
1006.51,0.00296681,1.00053247
1006.93,0.00269495,0.93736710
1007.35,0.00260764,0.86879229
1007.77,0.00252974,0.79456294
1008.19,0.00231566,0.71418979
1008.61,0.00222764,0.62816017
1009.03,0.00234266,0.53574069
1009.45,0.00233846,0.43717453
1009.87,0.00210688,0.33221659
1010.29,0.00185580,0.22111006
1010.71,0.00171995,0.09799459
1011.13,0.00181265,-0.03835146
1011.55,0.00210195,-0.18133725
1011.97,0.00222436,-0.33096372
1012.39,0.00208618,-0.48723184
1012.81,0.00202484,-0.65014254
1013.23,0.00213226,-0.81945263
1013.65,0.00225051,-0.99565134
1014.08,0.00239381,-1.17825132
1014.50,0.00253537,-1.36725351
1014.92,0.00244664,-1.56290300
1015.34,0.00214058,-1.76495657
1015.76,0.00187451,-1.97365931
1016.18,0.00168741,-2.18852386
1016.60,0.00153161,-2.41003944
1017.01,0.00141866,-2.63820697
1017.43,0.00123975,-2.87229497
1017.85,0.00096736,-3.11303677
1018.27,0.00079962,-3.36018917
1018.69,0.00078210,-3.61375308
1019.11,0.00076390,-3.87348529
1019.53,0.00072084,-4.13963085
1019.95,0.00069331,-4.41194654
