Wavelength[nm],Intensity[normalized],Phase[rad]
535.26,0.10898533,-0.29057741
535.71,0.10869280,-0.29393348
536.17,0.10881971,-0.29585454
536.62,0.10936726,-0.29782260
537.08,0.10996129,-0.29790167
537.53,0.11048793,-0.29757364
537.99,0.11117081,-0.29587893
538.44,0.11208280,-0.29234618
538.90,0.11322564,-0.28796879
539.35,0.11454133,-0.28081042
539.81,0.11595871,-0.27235263
540.26,0.11728622,-0.26212377
540.72,0.11816959,-0.25062873
541.17,0.11875023,-0.23788400
541.62,0.11935100,-0.22390605
542.08,0.12006247,-0.20871125
542.53,0.12121752,-0.19280420
542.99,0.12306675,-0.17571288
543.44,0.12525735,-0.15794177
543.90,0.12724071,-0.13950698
544.35,0.12870397,-0.11993631
544.80,0.12958860,-0.09924574
545.26,0.13023050,-0.07891607
545.71,0.13113897,-0.05701005
546.17,0.13245477,-0.03549660
546.62,0.13397213,-0.01292665
547.08,0.13552788,0.01019585
547.53,0.13712257,0.03385526
547.98,0.13873759,0.05754773
548.44,0.14039009,0.08174605
548.89,0.14230046,0.10643476
549.35,0.14461626,0.13062191
549.80,0.14698261,0.15429218
550.25,0.14882568,0.17840687
550.71,0.15020953,0.20197421
551.16,0.15172337,0.22546733
551.62,0.15344195,0.24838286
552.07,0.15493909,0.27070576
552.52,0.15612079,0.29242107
552.98,0.15713775,0.31400215
553.43,0.15812075,0.33348103
553.88,0.15940217,0.35328429
554.34,0.16098689,0.37193236
554.79,0.16250764,0.38941056
555.25,0.16389783,0.40619252
555.70,0.16501486,0.42177541
556.15,0.16573231,0.43565640
556.61,0.16633030,0.44830934
557.06,0.16707852,0.46020808
557.51,0.16792750,0.47085000
557.97,0.16872120,0.48022079
558.42,0.16946823,0.48781794
558.87,0.16984922,0.49362726
559.33,0.16955654,0.49909944
559.78,0.16920030,0.50275558
560.23,0.16938851,0.50555820
560.69,0.16979484,0.50798161
561.14,0.17003539,0.50952360
561.59,0.17024758,0.51065860
